годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,Бардак на работе,,,,,,"Чужая тема: это про менеджмент и организацию процессов, не про переживание женщины. «бардак на работе» 414, «захламление рабочего места» 87 — и оба ведут в выдачу про охрану труда."
нет,Свекровь не убирается,,,,,,"Слишком узко: «свекровь не убирается» 247 плюс «моя свекровь превращала мой дом в беспорядок» 65 — 312 показов, кластера нет."
нет,"Расхламление как марафон, календарь, челлендж",,,,,,"Коммерческая и блогерская выдача: «куприкова расхламление» 2450, «ксения куприкова расхламление» 2352, «вики шоу расхламление» 1267, «расхламление видео» 1769. Интент — посмотреть чужое видео, а не прочитать разбор."
нет,Синдром Плюшкина отдельной статьёй,,,,,,"В этом сборе слова нет: единственная фраза «расхламление синдром плюшкина» 7. Само явление забираю в статью про захламление квартиры, отдельную тему на 7 показов не завожу."
нет,"Хлам в доме, как избавиться от хлама (отдельной статьёй)",,,,,,"Сид «хлам» непригоден: 2000 фраз почти целиком про размер XL, кабель КГ-ХЛ, Mitsubishi Outlander, Хлою Морец и «в хлам» = пьяный. Живые фразы («как избавиться от хлама» 339, «человек который собирает хлам» 297, «хлам болезнь» 421) забраны в две темы выше."
нет,"Захламление подъезда, балкона, мест общего пользования",,,,,,"Чужая тема: ЖКХ и КоАП. 223 фразы, 15 758 показов — штрафы, жалобы в МЧС, предписания, пути эвакуации."
нет,"Вывоз хлама, барахолка, сдать на металлолом",,,,,,"Чужая тема: услуги и торговля («куплю хлам» 18 902, «сколько стоит хлам» 1070)."
нет,Бытовуха как криминальный сленг,,,,,,"Чужая тема: «бытовуха убийство» 20, «бытовуха срок» 9, «что такое бытовуха с ножевым» 6, «чп расследование бытовуха» 7. Опасение подтвердилось, но объём мизерный — песня Алексея Морозова забрала сид куда сильнее."
нет,"Бардак в стране, бардак в управлении",,,,,,"Чужая тема, подтвердилось: «бардак в россии» 1190, «бардак в стране» 892, «бардак путина» 413, «почему на сво бардак» 15 — 71 фраза, 7 537 показов."
нет,"Ресторан и бар «Бардак», Астрахань и Маросейка",,,,,,"Чужая тема, подтвердилось: «бардак бар» 2077, «бардак астрахань» 2043, «ресторан бардак» 1889, «бардак меню» 1700 — заведения забрали верх сида."
нет,К чему снится беспорядок в доме,,,,,,"Чужая тема и эзо-фильтр: сонник. «к чему снится беспорядок в доме» 205, «сон беспорядок в доме» 198, «сонник беспорядок в доме» 56."
нет,"Не убирается в Word, на телефоне, значок, панель",,,,,,"Чужая тема: сид «не убираюсь» на треть состоит из интерфейсов и техники. 352 фразы, 38 178 показов."
нет,Завалы дома,,,,,,"Сид мёртвый: 6 фраз, из них 4 про обрушения и спасателей. Переживания в нём нет."
