годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,Как пройти сепарацию,kak-proyti-separaciyu,,,364,,"ДУБЛЬ. Прохождение сепарации изнутри закрыто статьёй separatsiya-kak-perezhit.md (тоска, вина, откаты, «а если они не переживут») и separatsiya-vzroslogo.md (деньги, границы, страх «мама обидится»). Практическая часть — в separatsiya-ot-materi.md с тремя упражнениями."
нет,Как проходит сепарация,kak-prohodit-separaciya,,,364,,"ДУБЛЬ, дословный. В separatsiya-ot-roditeley.md есть раздел с точно таким заголовком — «Как проходит сепарация: четыре линии». Писать статью под подзаголовок существующей — прямая каннибализация."
нет,Как выглядит выгорание,kak-vyglyadit-vygoranie,,,359,,"ДУБЛЬ. vygoranie.md называется «Признаки выгорания: что это, как распознать и что делать» и содержит разделы «Признаки эмоционального выгорания», «Первые признаки выгорания», «Выгорание на работе признаки». Взгляд изнутри — kak-ponyat-chto-u-tebya-vygoranie.md. Кластер выгорания в корпусе — 14 статей."
нет,Триггер простыми словами,trigger-chto-eto-znachit-prostymi-slovami,,,357,,"ДУБЛЬ, точное совпадение. slovar-trigger.md, primaryKeyword «триггер это простыми словами», title «Триггер: что это такое простыми словами»."
нет,Перфекционизм простыми словами,perfekcionizm-chto-eto-oznachaet-prostymi-slovami,,,353,,"ДУБЛЬ. perfekcionizm.md, первый раздел — «Что такое перфекционизм простыми словами», description содержит ту же формулировку. Термин в корпусе закрыт полной статьёй, а не словарной карточкой; вторая страница на тот же термин будет её каннибализировать."
нет,Как лечить выгорание,kak-lechit-vygoranie,,,338,,"ОТБРАКОВАНА по двум основаниям. Первое — безопасность: «лечить» тянет в стадии, симптомы и терапию, что запрещено брифом (решение от 31.08.2026). Переформулировка не спасает, потому что второе основание — дубль: восстановление уже разобрано в kak-spravitsya-s-vygoraniem.md (по глубине, с механикой восстановления) и tehniki-vygoraniya.md (конкретные техники). Отдельно есть hronicheskoe-vygoranie.md и vygoranie-ili-depressiya.md."
нет,Как помочь подростку поверить в себя,kak-povysit-samootsenku-podrostku,,,332,,"ДУБЛЬ. samootsenka-podrostka.md — «Самооценка подростка: как поддержать, когда он себя не любит», внутри «Почему похвала не срабатывает», «Поднятие самооценки подростку: что работает вдолгую» и два упражнения для родителя. Это ровно запрос темы."
нет,Как успокоить истерику у ребенка,kak-uspokoit-isteriku-u-rebenka,,,321,,"ДУБЛЬ, дословный. В isterika-u-rebenka.md есть раздел «Как успокоить истерику у ребёнка: четыре шага», плюс «Чего лучше не делать» и «Что делать потом». Пошаговые инструкции по возрастам — в isteriki-u-rebenka-v-god.md и isteriki-u-detey-4.md."
нет,Как отвечать на буллинг,kak-otvechat-na-bulling,,,317,,"ДУБЛЬ. В kak-spravitsya-s-bullingom.md опора №2 «Отвечать скучно» даёт готовые формулы ответа («ага», «понял», «как скажешь») и совет отрепетировать их дома. Кластер буллинга — 8 статей (vidy, priznaki, prichiny, v-shkole, v-internete, na-rabote, bulling-chto-eto-takoe-prostymi-slovami). На отдельную статью остаётся только пересказ одного буллита."
нет,Зачем привязанность,zachem-privyazannost,,,312,,"ДУБЛЬ. Функция привязанности разобрана в teoriya-privyazannosti.md, раздел «Что утверждает теория привязанности»: врождённая система приближения к близкому при опасности, «биологический механизм выживания, такой же базовый, как голод». Что она даёт во взрослой жизни — nadezhnaya-privyazannost.md и privyazannost-v-otnosheniyah.md."
нет,Этапы сепарации,etapy-separacii,,,310,,"ДУБЛЬ. В separatsiya-ot-roditeley.md раздел «Сепарация от родителей: возраст, в котором она происходит» даёт готовую разбивку по этапам: 12–17, 17–23, 23–30, 30–45 лет и далее. Каждый виток вдобавок раскрыт своей статьёй: krizis-separatsii.md (малыш), podrostkovaya-separatsiya.md, separatsiya-vzroslogo.md. Новая статья была бы оглавлением к четырём существующим."
нет,Симптомы ревности,simptomy-revnosti,,,308,,"ДУБЛЬ. priznaki-revnosti.md разбирает ревность по трём слоям — мысли, тело, поведение — плюс скрытая ревность и признаки у партнёра. «Симптомы» и «признаки» здесь один интент, а слово «симптомы» вдобавок тянет в медицинскую подачу, запрещённую брифом. Рядом prichiny-revnosti.md, kak-spravitsya-s-revnostyu.md, test-revnost.md."
нет,Как избежать выгорания,kak-izbezhat-vygoraniya,,,307,,"ДУБЛЬ. profilaktika-emotsionalnogo-vygoraniya.md — «Профилактика выгорания: как не доводить себя до края», с четырьмя опорами, ранними сигналами, разделом «Что профилактикой не является» и упражнением «Что берёт и что даёт». Это в точности запрос темы."
нет,Как работает привязанность,kak-rabotaet-privyazannost,,,303,,"ДУБЛЬ. teoriya-privyazannosti.md целиком про механизм: как система включается, что такое внутренняя рабочая модель, эксперимент Эйнсворт «Незнакомая ситуация», как это разворачивается во взрослых отношениях, и отдельно «Чего теория привязанности не утверждает». Проявления в паре — privyazannost-v-otnosheniyah.md."
нет,Как помочь ребёнку с самооценкой,kak-povysit-samootsenku-rebenku,,,288,,"ДУБЛЬ. samootsenki-rebenka.md содержит «Похвала, которая помогает, и похвала, которая мешает», «Влияние самооценки родителя на самооценку ребёнка» и «Три вещи, которые можно делать дома». Рядом samootsenka-shkolnika.md и samootsenka-podrostka.md. Общая часть для взрослых — kak-povysit-samoocenku.md."
