годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,,,,,4204,,«не хочу помогать мужу» — статья ne-hochu-pomogat-muzhu уже есть
нет,,,,,3857,,"«страх близости» — дубль статьи izbegayu-otnosheniy-s-muzhchinami «Я избегаю отношений: почему близость пугает»; вдобавок треть куста сида — книга Илсе Санд, а не переживание"
нет,,,,,3594,,«муж не хочет работать» — статья muzh-ne-hochet-rabotat уже есть
нет,,,,,3294,,"«жизнь без близости» — дубль net-blizosti-v-otnosheniyah и zhivem-kak-sosedi, а свободная часть спроса («вредно ли долго без») уходит в медицину"
нет,,,,,2686,,"«ранняя интимная жизнь», «со скольки можно» — подростки и половое воспитание: самая чувствительная зона, плюс есть polovoe-vospitanie-detey"
нет,,,,,2126,,"«лечение фригидности» — диагностика и лечение, правило отбора №2 прямо запрещает"
нет,,,,,2023,,"«как разнообразить интимную жизнь» — техники и постель, чужой блогу голос, соседство с 18+ в выдаче"
нет,,,,,1651,,"«отказ в близости ислам», «супружеский долг грех» — религиозные нормы, чужая блогу рамка"
нет,,,,,1303,,«интимная жизнь» как спектакль с Боярским — чужое имя на куске сида
нет,,,,,732,,"«муж не хочет на сво» — политика, чужая тема"
нет,,,,,514,,"«эмоциональная холодность в отношениях» — весь сид дал пять фраз, ниже порога 300 на самостоятельную тему; частично закрыто emocionalnye-kacheli-v-otnosheniyah"
нет,,,,,363,,"«муж не хочет обнимать» — ниже порога на отдельную статью, уходит в LSI статьи про отказ в близости"
