годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Релаксация по Джекобсону: как расслабить тело за 15 минут,relaksaciya-po-dzhekobsonu,Психология,/online,7564,релаксация по джекобсону · мышечная релаксация по джекобсону · прогрессивная релаксация по джекобсону · прогрессивная мышечная релаксация по джекобсону · релаксация по джекобсону при тревожном расстройстве · релаксация по джекобсону при панических атаках · мышечная релаксация по джекобсону упражнения · мышечная релаксация · прогрессивная мышечная релаксация · методы мышечной релаксации · техника мышечной релаксации · техники релаксации,
нет,,balackaya-affirmacii,,,7204,,персоналия (Балацкая) плюс эзо: богатство и исцеление
да,"Практика благодарности: как замечать хорошее, когда трудно",praktika-blagodarnosti,Психология,/online,6708,аффирмации благодарности · аффирмации благодарности дню · аффирмации благодарности на каждый день · утренняя аффирмация благодарности · медитация благодарности · утренняя медитация благодарности,
нет,,relaksaciya-uspokoenie,,,6673,,медиа-интент (звуки природы); смысл закрыт meditaciya-dlya-uspokoeniya.md
нет,,meditaciya-na-dengi,,,6584,,"эзотерика: денежный магнит, привлечение денег"
нет,,meditaciya-dlya-sna-i-rasslableniya,,,6245,,дубль: meditaciya-dlya-sna.md
нет,,affirmacii-na-zdorove,,,6233,,"эзотерика и лечение: исцеление, Луиза Хей"
нет,,sila-meditacii,,,6019,,"эзо-ядро: сила рода, сила подсознания, женская сила; польза сведена в chto-takoe-meditaciya"
нет,,glubokaya-meditaciya,,,5832,,медиа и гипноз; сон закрыт meditaciya-dlya-sna.md
да,"Сколько нужно медитировать: 5, 10 или 30 минут в день",skolko-nuzhno-meditirovat,Медитации,/online,5824,минута медитации · медитация 5 минут · медитация 10 минут · медитация 15 минут · медитация 30 минут · сколько медитации · время медитации,
нет,,meditaciya-ageeva,,,5815,,персоналия: Михаил Агеев
нет,,myshechnaya-relaksaciya,,,5572,,дубль: сведено в relaksaciya-po-dzhekobsonu
нет,,affirmacii-na-lyubov,,,5287,,эзотерика: привлечение любви и замужества
нет,,meditaciya-mihaila,,,5210,,персоналия: Михаил Агеев
нет,,meditaciya-livanda,,,5198,,персоналия: Ливанда
нет,,meditaciya-na-privlechenie,,,5166,,"эзотерика: привлечение мужчины, денег, событий"
нет,,affirmacii-na-bogatstvo,,,5006,,эзотерика: богатство и изобилие
нет,,affirmacii-na-uspeh,,,5002,,эзотерика: удача и процветание
нет,,meditaciya-na-lyubov,,,4495,,эзотерика: медитация на конкретного мужчину — приворотный интент
да,Виды и техники медитации: какая практика вам подойдёт,vidy-i-tehniki-meditacii,Медитации,/online,4305,практики медитации · техники медитации · способы медитации · медитация упражнения · практикую медитации · виды медитаций · уровни медитаций · какая медитация,
нет,,relaksaciya-dlya-sna,,,4301,,медиа-интент: звуки дождя и птиц; тема закрыта meditaciya-dlya-sna.md
нет,,meditaciya-blagodarnosti,,,4223,,эзо-довесок «на успех и благополучие»; благодарность как практика — в praktika-blagodarnosti
нет,,gipnoz-meditaciya,,,4080,,"гипноз и персоналии (Бобровский), не наша практика"
нет,,priroda-relaksacii,,,4009,,"звуки и медиа, темы для статьи нет"
нет,,meditaciya-osho,,,3980,,персоналия: Ошо
нет,,affirmaciya-privlecheniya,,,3876,,"эзотерика: привлечение денег, мужчины, удачи"
нет,,affirmaciya-na-iscelenie,,,3774,,"эзотерика и лечение: Луиза Хей, исцеляющие аффирмации"
нет,,meditaciya-balackaya,,,3590,,персоналия: Елена Балацкая
нет,,moschnaya-meditaciya,,,3557,,"оценочная склейка без темы, в ключах мантры"
нет,,meditaciya-bez-sna,,,3469,,"склейка; реальный интент — «без рекламы» и «без голоса», это файлы"
нет,,meditaciya-s-golosom,,,3435,,"формат файла, а не тема"
нет,,meditaciya-vnutrenniy,,,3285,,"склейка: внутренний ребёнок закрыт meditaciya-lyubov-k-sebe.md, «внутренние органы» — лечение"
нет,,relaksaciya-2,,,3200,,склейка; в ключах музыка и постизометрическая релаксация — это ЛФК
нет,,imram-meditaciya,,,3183,,персоналия: Имрам
нет,,meditacii-horoshego-kachestva,,,3066,,медиа-интент: «в хорошем качестве»
да,"Как начать медитировать: пошагово для тех, кто пробует впервые",kak-nachat-meditirovat,Медитации,/online,2966,медитация для начинающих · медитация для начинающих урок · медитация для начинающих в домашних условиях · медитация для начинающих в домашних · как медитировать · медитация самому · поза для медитации,
да,Аффирмации простыми словами: работают ли они на самом деле,affirmacii-prostymi-slovami,Психология,/online,2949,аффирмация это простыми словами · слова аффирмации · сила аффирмаций · суть аффирмаций · про аффирмацию · позитивные аффирмации · аффирмации на позитив · аффирмации на уверенность в себе · утренние аффирмации · аффирмация дня · аффирмации на каждый день,
нет,,affirmacii-na-kazhdyy,,,2846,,персоналия Луиза Хей; дубль affirmacii-prostymi-slovami
нет,,volkova-meditacii,,,2845,,персоналия: Елизавета Волкова
нет,,relaksaciya-diafragmy,,,2844,,медицина: рентгенологический диагноз «релаксация купола диафрагмы»
нет,,meditaciya-dlya-energii,,,2842,,"эзо: женская энергия, энергетический разрыв, очищение энергии; дубль meditaciya-dlya-vosstanovleniya-sil.md"
да,Что такое медитация простыми словами и что она даёт,chto-takoe-meditaciya,Медитации,/online,2810,что такое медитация · медитация что это такое простыми словами · что означает медитация · сила медитации · жизненная сила медитации,
нет,,affirmaciya-tablica,,,2756,,эзотерика и псевдомедицина: таблица болезней Луизы Хей
нет,,meditaciya-rasslablen,,,2699,,дубль: meditaciya-dlya-uspokoeniya.md
нет,,meditacii-napolneniya,,,2427,,склейка плюс эзо: наполнение женской энергией
нет,,meditaciya-schastlivaya,,,2424,,эзотерика: привлечение счастливых отношений и событий
нет,,kriyya-meditaciya,,,2407,,"школа и персоналии: Садхгуру, Имрам"
нет,,russkie-meditacii,,,2367,,"языковой фильтр к файлам, а не тема"
нет,,meditaciya-potok,,,2231,,"эзотерика: поток творца, денежный поток"
нет,,relaksaciya-kupolov,,,2178,,медицина: релаксация купола диафрагмы
нет,,meditaciya-organizma,,,2156,,лечение и эзо: оздоровление и омоложение организма
нет,,meditaciya-dlya-sna-s-golosom,,,2104,,формат файла; дубль meditaciya-dlya-sna.md
нет,,meditaciya-ot-trevogi,,,2069,,дубль: «медитация от тревоги» — lsi статьи meditaciya-dlya-uspokoeniya.md
нет,,meditaciya-priroda,,,2033,,"звуки природы, медиа-интент"
нет,,meditaciya-osoznannosti,,,1935,,дубль: практики внимания и сканирование тела уже в chto-takoe-osoznannost.md
нет,,praktika-osoznannosti,,,1788,,"дубль: chto-takoe-osoznannost.md, в выгрузке помечено «покрыто»"
нет,,tehnik-relaksacii,,,1774,,дубль: сведено в relaksaciya-po-dzhekobsonu
нет,,meditaciya-proscheniya,,,1729,,персоналия (Толоконин); прощение закрыто meditaciya-lyubov-k-sebe.md и kak-otpustit-obidu.md
нет,,pozitivnye-affirmacii,,,1720,,дубль: affirmacii-prostymi-slovami
нет,,volkova-affirmacii,,,1719,,персоналия: Елизавета Волкова
нет,,mantry-dlya-meditacii,,,1674,,мантры и религиозная практика плюс медиа-интент
нет,,master-meditacii,,,1658,,склейка; в ключах компьютерная игра («подземелье мастерства»)
нет,,silnye-affirmacii,,,1658,,эзотерика: аффирмация на удачу
нет,,meditaciya-dlya-snyatiya-stressa,,,1581,,дубль: meditaciya-dlya-uspokoeniya.md и snyatie-stressa.md
нет,,meditaciya-aleksandrov,,,1551,,"персоналии: Александров, Алексеев"
нет,,affirmacii-schastlivoy,,,1542,,эзотерика: счастливую жизнь предлагается притянуть словами
да,Почему не получается медитировать и что с этим делать,pochemu-ne-poluchaetsya-meditirovat,Медитации,/online,1455,почему медитация · почему во время медитации,
нет,,transcendentalnaya-meditaciya,,,1434,,чужая школа и платный курс; к нашей практике не ведёт
нет,,semenova-meditacii,,,1419,,персоналия: Сюзанна Семенова
нет,,meditaciya-dlya-muzhchin,,,1305,,эзотерика: медитация на конкретного мужчину; и не наша аудитория
нет,,shum-dlya-meditacii,,,1284,,звуки и файлы
нет,,andrey-meditaciya-sna,,,1220,,"персоналии: Бобровский, Ракицкий"
нет,,meditaciya-ot-negativa,,,1204,,эзотерика: очищение от негатива
нет,,affirmacii-bogdanova,,,1134,,персоналия: Дарина Богданова
нет,,meditaciya-golov,,,1098,,склейка плюс лечение: медитация от головной боли
нет,,meditaciya-belyakovoy,,,1088,,персоналия: Саша Белякова
нет,,meditaciya-shri-shri,,,1078,,персоналия: Шри Шри Рави Шанкар
нет,,meditacii-penie,,,974,,звуки: пение птиц
нет,,meditaciya-son-stress,,,958,,склейка плюс персоналия (Ракицкий); дубль meditaciya-dlya-sna.md
нет,,meditaciya-baturin,,,923,,персоналия: Никита Батурин
нет,,relaksaciya-penie,,,916,,звуки: пение птиц
нет,,meditacii-turyatki,,,863,,персоналия: Татьяна Турятка
нет,,meditacii-nastroy,,,822,,"склейка: настрой, настроение и настройка в одной группе"
нет,,uilyams-osoznannost,,,799,,персоналия и книга: Марк Уильямс
нет,,skolko-meditacii,,,689,,дубль: ключи разведены в skolko-nuzhno-meditirovat и vidy-i-tehniki-meditacii
нет,,psihologicheskaya-relaksaciya,,,682,,размытая склейка; техники закрыты relaksaciya-po-dzhekobsonu
нет,,detskuyu-relaksacii,,,573,,детский сад и работа с детьми — не наша аудитория
нет,,black-myth-meditaciya,,,557,,компьютерная игра Black Myth: Wukong
нет,,obresti-osoznannost,,,539,,дубль chto-takoe-osoznannost.md; в ключах игра The Sims
нет,,meditaciya-zvuk-dozhdya,,,433,,звуки и файлы
нет,,meditaciya-budnikova,,,431,,персоналия: Будников
нет,,chastoty-dlya-meditacii,,,414,,эзотерика: частоты сольфеджио
нет,,baturin-meditaciya-dlya-sna,,,400,,персоналия: Никита Батурин
